,es,pt,fr,be,lu,nl,de,dk,cz,pl,sk,ch,at,it,si,hu,ro,hr,ba,me,rs,bg,mk,gr,al,ee,fi,lt,lv,no,se,uk,ie
4866,0,0,0,2.500390977822581,0,0.8480130362903225,7.766934814814816,9.985460862806061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202453125,0.1630396959459459,12.61255349879167,0
4867,0,0,0,2.410786693548387,0,0.2974239254032258,6.344159481481482,12.9148077730276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233634375,0.346439329954955,11.840536393947668,0
4868,0,0,0,2.046691935483871,0,0.1205143064516129,5.294801111111111,15.67738251068791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245221875,0.5908216497747748,11.142507359144105,0
4869,0,0,0,1.4811140625,0,0.09865917943548388,4.595742851851852,17.86401601243685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3744375,1.032956081081081,10.79294209475022,0
4870,0,0,0,0.9430865927419356,0,0.1346826169354839,4.004109481481482,19.63951651768364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665990625,1.391827984234234,10.589991953581476,0
4871,0,0,0,0.7077919354838709,0,0.273770752016129,3.554984592592592,19.76258919549165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.115953125,1.570170467342342,9.425222153414289,0
4872,0,0,0,0.4125189012096774,0,0.7327579112903226,3.373384925925926,18.88116548775748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.498865625,1.526426661036036,8.08630912571505,0
4873,0,0,0,0.2683878024193548,0,1.435850782258064,3.242718518518518,17.95778095608239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746009375,1.403949042792793,7.664636707245672,0
4874,0,0,0,0.1077155745967742,0,2.040264598790322,3.028876777777778,17.35715569374272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.881046875,1.377843046171171,6.973372437274822,0
4875,0,0,0,0.02012691532258064,0,2.394004977822581,3.155851666666667,17.37830361445783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94488125,1.496666103603604,5.806170481015337,0
4876,0,0,0,0.0016875,0,2.427662008064516,3.683659481481482,17.60767524290711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8928125,1.759254786036036,5.006042695008906,0
4877,0,0,0,0.0,0,1.736083493951613,4.082225111111111,17.96864687135639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.711846875,1.976556165540541,4.450451798396118,0
4878,0,0,0,0.0,0,1.219864989919355,3.308625,17.18937520404198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524234375,2.011326295045045,4.126189838363431,0
4879,0,0,0,0.001110332661290323,0,1.27118095766129,2.467458703703703,15.99274838709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39573125,2.140001548423423,4.312308690838974,0
4880,0,0,0,0.01428795362903226,0,2.186102540322581,2.576467740740741,15.30219168286047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40015625,2.254046734234235,5.071515378491509,0
4881,0,0,0,0.05981794354838709,0,3.708724366935484,3.646768851851852,15.67414426739215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561321875,2.19164161036036,5.769825211522452,0
4882,0,0,0,0.1183001008064516,0,5.075364308467742,5.565111814814816,16.91868293820443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8728625,2.183283361486486,5.8583964793260535,0
4883,0,0,0,0.1509630544354839,0,5.940401564516128,7.592087925925926,18.34118243295764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.215921875,2.23261036036036,5.764490658868811,0
4884,0,0,0,0.1826387600806451,0,6.087725002016128,9.332671962962962,19.22059790128255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.448178125,2.200578547297297,5.345601094695438,0
4885,0,0,0,0.1814786794354839,0,5.887937014112904,10.69052240740741,19.5890468713564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57535,2.04482911036036,4.674010116998158,0
4886,0,0,0,0.150485685483871,0,5.006488137096774,11.12303892592593,19.74663707734163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.623228125,1.736910613738739,4.131410698699188,0
4887,0,0,0,0.1109145665322581,0,3.995347512096775,10.45562207407407,19.50290975514963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.610328125,1.567067989864865,3.6457207993859426,0
4888,0,0,0,0.07248598790322582,0,2.876699806451613,9.950755444444445,18.97073346288379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549156250000001,1.290440737612613,3.136352957690701,0
